icd_code,category_code
E866,1111
392,927
0,995
E903,992
010,2
011,3
012,4
013,5
014,6
015,7
016,8
017,9
018,10
E840,1161
E900,993
E831,994
344,12
819,240
346,14
347,15
340,16
341,17
342,18
343,19
810,20
811,21
812,22
813,23
348,24
349,25
816,26
817,27
E818,996
E819,28
719,29
718,30
717,31
716,32
715,33
714,34
E814,997
712,35
711,36
710,37
421,846
914,847
917,848
594,390
916,849
V78,44
V79,45
V74,47
V75,292
V76,49
V77,50
V70,51
V71,52
V72,53
V73,517
099,485
427,852
298,56
299,57
296,58
297,59
294,60
295,61
292,62
293,63
290,64
291,65
591,66
590,67
593,68
592,69
595,70
198,71
597,72
596,73
195,46
598,75
197,76
196,77
191,78
190,79
193,80
192,81
270,82
271,83
272,84
273,432
274,86
275,87
276,88
277,89
278,443
279,91
738,912
569,895
E932,1005
E931,1006
910,851
E930,1007
524,93
E950,185
526,504
527,96
520,97
521,98
522,99
523,100
E959,1011
E958,101
528,102
529,103
E886,1100
E905,1012
448,201
693,496
443,105
442,106
441,107
440,108
447,109
446,110
E997,1029
444,111
E939,1013
102,112
100,113
101,114
902,115
903,116
900,117
901,118
906,119
907,120
904,353
905,122
908,123
909,124
641,125
640,126
643,127
642,128
645,129
644,130
438,131
646,132
436,133
648,134
434,135
435,136
432,137
433,138
430,139
431,140
E968,141
E828,1057
E969,1015
335,142
334,143
337,144
336,145
331,146
330,147
333,148
332,149
E844,1016
054,150
055,151
056,152
057,153
051,154
052,155
053,156
854,157
818,158
850,159
851,160
852,161
345,13
508,967
042,872
748,163
541,508
E961,1026
E909,1116
E962,1020
E873,1021
425,850
E891,1074
E964,1162
E965,1023
844,878
E966,1024
E967,1028
E870,1121
E849,1027
814,166
815,167
560,902
153,944
740,169
741,170
742,171
743,172
744,173
558,174
746,175
747,176
555,177
749,178
557,179
556,180
551,181
550,182
553,183
552,184
238,186
239,187
234,188
235,189
236,190
237,191
230,192
231,193
232,194
233,195
V05,196
V04,197
V07,198
V06,199
V01,200
V39,929
V03,220
V02,202
V09,203
V08,204
E810,1030
E811,1031
155,946
E812,1032
146,205
147,206
618,207
619,208
142,209
143,210
140,211
141,212
713,1034
610,213
611,214
616,215
617,216
614,217
149,218
E971,1035
E996,1036
E816,998
E874,1037
E991,1038
E817,1039
E988,1082
E892,1154
948,221
949,222
946,223
947,224
944,225
945,226
942,227
943,228
940,229
941,230
768,756
157,948
685,231
684,232
686,233
681,234
680,235
683,236
682,237
098,238
458,368
622,369
090,242
091,243
092,244
093,245
094,246
095,247
096,248
097,249
133,250
132,251
131,252
130,253
137,254
136,255
135,256
134,257
494,258
495,259
496,260
138,261
490,262
491,263
492,264
493,265
E821,1040
E976,1163
156,949
405,267
938,268
403,269
402,270
401,271
933,272
932,273
931,274
930,275
937,276
936,277
935,278
934,702
453,378
025,281
024,1042
027,282
026,283
021,284
023,285
022,286
E937,1043
183,403
E885,697
E800,1056
E916,1141
415,533
E820,1046
379,287
378,288
829,290
828,291
E935,1047
825,293
370,294
373,295
826,104
821,297
820,298
823,299
822,300
708,301
709,302
704,303
705,304
706,305
707,306
700,903
701,308
702,309
703,310
V41,311
V40,312
V43,313
V42,314
V45,315
396,316
395,317
394,318
V49,319
181,866
398,321
E830,1152
797,323
414,532
795,325
794,326
793,327
792,328
791,329
790,330
E898,1048
E899,1049
799,331
798,332
E934,1050
E824,1051
586,335
E936,219
584,337
585,338
582,339
583,340
580,341
581,342
588,343
589,344
245,345
244,346
246,347
241,348
148,349
243,350
242,351
615,354
639,966
519,359
518,360
511,361
510,362
513,363
512,364
515,365
514,366
517,1053
516,367
623,239
459,241
621,370
620,371
627,372
626,373
625,374
624,375
451,376
452,1
628,280
454,379
455,380
456,381
457,382
E921,1017
E927,1055
179,383
600,947
199,384
175,385
174,386
173,387
172,388
171,389
170,333
977,391
976,392
975,393
974,394
973,352
972,396
971,397
970,358
E893,1156
E923,1002
654,404
979,400
978,401
182,279
599,74
180,399
655,405
652,406
653,407
650,408
194,90
